Commit dates / times | Hours worked on day | Commit Activity ([C]oding, [D]ebugging, [T]esting, [O]ther) | Commit Subject
Tue Aug 28 13:19:11 2012 +1000 |     |  C  | Simplify echo->print regex, thanks to testing
Tue Aug 28 12:22:51 2012 +1000 |     |  T  | Change tests to use Test::More and is()
Tue Aug 28 11:50:53 2012 +1000 |     |  O  | Update log
Mon Aug 27 17:43:38 2012 +1000 | 0.3 |  D  | Troubleshoot and test Builtins module
Sun Aug 26 18:31:01 2012 +1000 |  2  |  C  | Add Assignment and Builtins modules
Sun Aug 26 17:02:31 2012 +1000 |     |  T  | Use Test::Simple for unit tests
Sun Aug 26 16:37:39 2012 +1000 |     |  C  | Add the CommandSplit module, for subprocess
Sat Aug 25 20:56:22 2012 +1000 | 0.2 |  O  | Update logs
Sat Aug 25 20:49:38 2012 +1000 |     |  C  | Add subprocess execution and imports
Sat Aug 25 20:00:23 2012 +1000 |  3  |  D  | Fix small bugs in tester, add missing script error
Fri Aug 24 16:30:41 2012 +1000 |     |  O  | Swap time scripts with a log file
Fri Aug 24 16:27:39 2012 +1000 |     |  T  | Basic tester working, three tests pass
Fri Aug 24 15:37:08 2012 +1000 |     |  T  | Tester finds files succesfully
Fri Aug 24 15:33:13 2012 +1000 |     |  T  | Restructure test directories
Fri Aug 24 14:23:26 2012 +1000 |     |  T  | Add the beginnings of a tester
Fri Aug 24 13:37:31 2012 +1000 |     |  T  | Download starting script and example test cases
Wed Aug 22 13:28:16 2012 +1000 | 0.1 |  O  | Add scripts for rudimentary timekeeping
Tue Aug 21 20:18:58 2012 -0700 |     |  O  | Initial commit
